text,closed,all,min,max,date,dow,tweet_id,timestamp
"WEDNESDAY, APRIL 10, 2013 jurors with summonses numbered 4000 through and including 4500 are to report for jury service.",0,0.0,4000,4500,2013-04-10T00:00:00Z,Wednesday,321751895947501568,2013-04-09 22:30:04 +0000
"TUESDAY, APRIL 9, 2013 jurors with summonses numbered 2000 through and including 2900 are to report for jury service.",0,0.0,2000,2900,2013-04-09T00:00:00Z,Tuesday,321389503514284033,2013-04-08 22:30:03 +0000
"MONDAY, APRIL 8, 2013 jurors with summonses numbered 1 through and including 800 are to report for jury service.",0,0.0,1,800,2013-04-08T00:00:00Z,Monday,321027116034555906,2013-04-07 22:30:03 +0000
"FRIDAY, APRIL 5, 2013 jurors with summonses numbered 8000 through and including 8500 are to report for jury service.",0,0.0,8000,8500,2013-04-05T00:00:00Z,Friday,319939953507323904,2013-04-04 22:30:03 +0000
"THURSDAY, APRIL 4, 2013 jurors with summonses numbered 6000 through and including 6500 are to report for jury service.",0,0.0,6000,6500,2013-04-04T00:00:00Z,Thursday,319577564685406211,2013-04-03 22:30:03 +0000
"WEDNESDAY, APRIL 3,2103 jurors with summonses numbered 4000 through and including 5000 are to report for jury service.",0,0.0,4000,5000,2103-04-03T00:00:00Z,Tuesday,319215179990720513,2013-04-02 22:30:04 +0000
"TUESDAY APRIL 2, 2103 jurors with summonses numbered 2000 through and including 2500 are to report for jury service.",0,0.0,2000,2500,2103-04-02T00:00:00Z,Monday,318852788950020096,2013-04-01 22:30:03 +0000
"MONDAY APRIL 1, 2103 jurors with summonses numbered 1 through and including 800 are to report for jury service.",0,0.0,1,800,2013-04-01T00:00:00Z,Monday,318490401407393792,2013-03-31 22:30:03 +0000
"ALL JURORS SCHEDULED FOR JURY SERVICE ON FRIDAY MARCH 29, 2013 ARE TO REPORT.",0,1.0,0,0,2013-03-29T00:00:00Z,Friday,317403237294682112,2013-03-28 22:30:03 +0000
"THURSDAY MARCH 28, 2013 jurors with summonses numbered 6000 through and including 6500 are to report for jury service.",0,0.0,6000,6500,2013-03-28T00:00:00Z,Thursday,317040851438141442,2013-03-27 22:30:03 +0000
